DATE,SYMBOL,DAILY_TRANSFERS,UNIQUE_SENDERS,UNIQUE_RECEIVERS,DAILY_VOLUME_USD,AVG_TRANSFER_USD
2025-12-26,POPCAT,21724,1245,1224,4497005.47543892,207.006328275
2025-12-26,MEW,17729,726,632,3086317.4017837,174.082994065
2025-12-26,MOODENG,2171,247,256,2800708.77332466,1290.054709039
2025-12-26,PONKE,1046,175,172,205401.566081137,196.36861002
2025-12-25,BONK,39900,3606,3951,6018489.25641613,150.839329735
2025-12-25,MEW,28808,745,799,5403433.66704574,187.567122572
2025-12-25,POPCAT,22745,1306,1291,3311129.09884165,145.576130967
2025-12-25,MOODENG,1947,228,231,859011.005856742,441.19722951
2025-12-25,PONKE,1144,177,190,189825.912609543,165.931741792
2025-12-24,POPCAT,23052,1318,1336,8139664.55026813,353.100145335
2025-12-24,BONK,44328,3434,4955,6141942.19319714,138.556717948
2025-12-24,MEW,27091,511,497,1679313.01305709,61.987856227
2025-12-24,MOODENG,1334,221,229,1189564.62880928,891.727607803
2025-12-24,PONKE,951,189,202,203441.034592841,213.923275071
2025-12-23,BONK,44972,3969,4187,8843889.8688197,196.653247995
2025-12-23,POPCAT,19950,1518,1526,4236420.16039425,212.351887739
2025-12-23,MOODENG,3202,623,630,1625570.48676822,507.673481189
2025-12-23,MEW,8280,1148,1504,1554528.03257004,187.74493147
2025-12-23,PONKE,1483,524,550,240270.33190618,162.016407219
2025-12-22,BONK,54497,3923,5144,8206442.8207247,150.585221585
2025-12-22,POPCAT,21998,1259,1248,8084031.03720704,367.489364361
2025-12-22,MOODENG,2611,294,305,2316704.11418222,887.286141012
2025-12-22,MEW,4556,451,444,1252746.79663339,274.966373273
2025-12-22,PONKE,1011,192,192,254292.373618691,251.525592106
